ID,XENLA_XenBase_GeneNames,XENLA_GenBank_Description,HUMAN_UniProt_GeneNames,eggNOG_annotation
ENOG411CTEA,"grin2c.L, grin2d.L, grin2c.S, grin2d.S","ionotropic glutamate receptor subunit NR2C [Xenopus laevis], ionotropic glutamate receptor subunit NR2D [Xenopus laevis], NA","GRIN2C, GRIN2D",Glutamate receptor ionotropic N-methyl D-aspartate
ENOG411CTEB,"adprhl2.L, adprhl2.S",NA,ADPRHL2,ADP-ribosylhydrolase like 2
ENOG411CTEC,"Xelaev18009525m.g, shroom2.S, Xelaev18000699m.g, Xelaev18005858m.g, shroom2.L","RecName: Full=Protein Shroom3; AltName: Full=Shroom-like protein, NA","SHROOM3, SHROOM2",Shroom family member
ENOG411CTEE,NA,cell division cycle 16 homolog [Xenopus laevis],CDC16,Cell division cycle 16 homolog (S. cerevisiae)
ENOG411CTEF,"prr16.L, prr16.S",NA,PRR16,proline rich 16
ENOG411CTEG,wdr65.L,NA,CFAP57,WD repeat domain 65
ENOG411CTEH,"ehd3.L, ehd1.S, ehd3.S, ehd4.S","EH-domain containing 4 [Xenopus laevis], EH-domain containing 1 [Xenopus laevis], LOC495107 protein [Xenopus laevis], LOC495040 protein [Xenopus laevis], NA","EHD3, EHD1, EHD4",EH-domain containing
ENOG411CTEI,"ptafr.L, ptafr.S","MGC52896 protein [Xenopus laevis], NA",PTAFR,Platelet-activating factor receptor
ENOG411CTEJ,ak7.S,"adenylate kinase 7 [Xenopus laevis], Ak7-a protein [Xenopus laevis], NA",AK7,Adenylate kinase 7
ENOG411CTEK,mcm8.L,"minichromosome maintenance complex component 8 [Xenopus laevis], DNA-dependent DNA helicase and ATPase [Xenopus laevis], NA",MCM8,Minichromosome maintenance complex component 8
ENOG411CTEN,samsn1.S,NA,SAMSN1,"SAM domain, SH3 domain and nuclear localization signals, 1"
ENOG411CTEP,"c21orf62.S, c21orf62.L",NA,C21orf62,chromosome 21 open reading frame 62
ENOG411CTER,"strn.L, strn3.L, strn3.S","striatin, calmodulin binding protein 3 [Xenopus laevis], striatin, calmodulin binding protein [Xenopus laevis], NA","STRN, STRN3, STRN4","Striatin, calmodulin binding protein"
ENOG411CTES,tvp23b.L,"uncharacterized protein LOC379444 [Xenopus laevis], uncharacterized protein LOC496158 [Xenopus laevis], LOC496158 protein [Xenopus laevis], NA","TVP23B, TVP23C","Family with sequence similarity 18, member"
ENOG411CTET,cpamd8.L,NA,NA,"C3 and PZP-like, alpha-2-macroglobulin domain containing 8"
ENOG411CTEU,"slc25a4.S, slc25a5.S","adenine nucleotide translocator 2 [Xenopus laevis], solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4 [Xenopus laevis], NA","SLC25A5, SLC25A6, SLC25A4",solute carrier family 25 (mitochondrial carrier)
ENOG411CTEV,dtwd2.L,"MGC154324 protein [Xenopus laevis], NA",DTWD2,DTW domain containing 2
ENOG411CTEW,lpcat4.L,"RecName: Full=Lysophospholipid acyltransferase LPCAT4; AltName: Full=1-acylglycerol-3-phosphate O-acyltransferase 7; Short=1-AGP acyltransferase 7; Short=1-AGPAT 7; AltName: Full=Acyltransferase-like 3; AltName: Full=Lysophosphatidylcholine acyltransferase 4; AltName: Full=Lysophosphatidylethanolamine acyltransferase 2, Agpat7 protein [Xenopus laevis], NA",LPCAT4,lysophosphatidylcholine acyltransferase 4
ENOG411CTEX,"ehmt2.L, ehmt1.L, ehmt1.S",NA,"EHMT1, EHMT2",euchromatic histone-lysine N-methyltransferase
ENOG411CTEY,"mllt10-like.S, mllt6.S, mllt6.L","uncharacterized protein LOC494767 [Xenopus laevis], NA",MLLT6,"myeloid lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)"
ENOG411CTEZ,"fshr.S, lhcgr.S, tshr.L, lhcgr.L, fshr.L, tshr.S","luteinizing hormone receptor [Xenopus laevis], thyroid stimulating hormone receptor [Xenopus laevis], follicle stimulating hormone receptor [Xenopus laevis], NA","TSHR, LHCGR",hormone receptor
ENOG411CTF0,NA,"LOC398543 protein [Xenopus laevis], DEK oncogene [Xenopus laevis]",NA,DEK oncogene
ENOG411CTF1,"mapre2.S, mapre2.L, mapre3.L, Xelaev18030301m.g","microtubule-associated protein, RP/EB family, member 1 [Xenopus laevis], microtubule-associated protein, RP/EB family, member 3 [Xenopus laevis], microtubule-associated protein RP/EB family member 2 [Xenopus laevis], Mapre1-prov protein [Xenopus laevis], NA","MAPRE2, MAPRE1",microtubule-associated protein RP EB family member
ENOG411CTF2,"stau2.L, stau2.S","staufen, RNA binding protein, homolog 2 [Xenopus laevis], Stau2-B-prov protein [Xenopus laevis], NA",STAU2,staufen (RNA binding protein) homolog 2 (Drosophila)
ENOG411CTF3,"rbm27.L, rbm27.S",NA,NA,RNA binding motif protein
ENOG411CTF4,jup.S,"junction plakoglobin [Xenopus laevis], LOC398496 protein [Xenopus laevis], X-plakoglobin [Xenopus laevis], NA",JUP,"Catenin (Cadherin-associated protein), beta 1, 88kDa"
ENOG411CTF5,"parp11.L, parp11.S","poly (ADP-ribose) polymerase family, member 11 [Xenopus laevis], NA",PARP11,"Poly (ADP-ribose) polymerase family, member 11"
ENOG411CTF7,ttc1.S,NA,TTC1,tetratricopeptide repeat domain 1
ENOG411CTF8,"tspan1.L, tspan1.S, tspan16.S, tspan16.L","tetraspanin 1 [Xenopus laevis], MGC81526 protein [Xenopus laevis], hypothetical protein LOC399062 [Xenopus laevis], NA",TSPAN1,Tetraspanin 1
ENOG411CTFA,"Xelaev18005287m.g, Xelaev18000340m.g, Xelaev18009066m.g","Kit receptor tyrosine kinase homolog [Xenopus laevis], v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog precursor [Xenopus laevis], mast/stem cell growth factor receptor-related protein precursor [Xenopus laevis], V-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog [Xenopus laevis], putative protein-tyrosine kinase [Xenopus laevis], NA",KIT,v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
ENOG411CTFB,"uqcc1.S, uqcc1.L","LOC398100 protein [Xenopus laevis], RecName: Full=Ubiquinol-cytochrome c reductase complex chaperone CBP3 homolog; AltName: Full=Basic FGF-repressed Zic-binding protein homolog; AltName: Full=Zic3-binding protein, NA",UQCC1,Ubiquinol-cytochrome c reductase complex chaperone
ENOG411CTFC,"uxs1.L, uxs1.S",NA,UXS1,UDP-glucuronate decarboxylase 1
ENOG411CTFE,"wdr26.S, wdr26.L","LOC100037096 protein [Xenopus laevis], NA",WDR26,WD repeat domain 26
ENOG411CTFF,NA,"family with sequence similarity 192, member A [Xenopus laevis]",FAM192A,"Family with sequence similarity 192, member A"
ENOG411CTFG,ikbkap.S,"RecName: Full=Putative elongator complex protein 1; Short=ELP1; AltName: Full=IkappaB kinase complex-associated protein; Short=IKK complex-associated protein, NA",ELP1,"Inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein"
ENOG411CTFH,"mars.L, Xetrov90006328m.L, Xetrov90006328m.S","methionyl-tRNA synthetase [Xenopus laevis], methionyl-tRNA synthetase, cytoplasmic [Xenopus laevis], NA",MARS,methionyl-tRNA synthetase
ENOG411CTFI,sdad1.S,"RecName: Full=Protein SDA1 homolog; AltName: Full=SDA1 domain-containing protein 1, Sdad1 protein [Xenopus laevis], NA",SDAD1,SDA1 domain containing 1
ENOG411CTFK,"sap18.L, sap18.S","Sin3A-associated protein, 18kDa [Xenopus laevis], NA",SAP18,"Sin3A-associated protein, 18kDa"
ENOG411CTFM,"myo6.L, myo6.S","LOC443649 protein [Xenopus laevis], NA",MYO6,myosin VI
ENOG411CTFN,"prox1.S, prox1.L","Prox 1 [Xenopus laevis], NA",PROX1,Prospero homeobox 1
ENOG411CTFP,"islr2.S, islr2.L, loc101734474.L, loc101734474.S",NA,"ISLR, ISLR2",Immunoglobulin superfamily containing leucine-rich repeat
ENOG411CTFQ,"npr2-like.S, npr1.S, npr1.L","XGC-2 protein [Xenopus laevis], natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A) precursor [Xenopus laevis], guanylyl cyclase-1 precursor [Xenopus laevis], guanylyl cyclase-2 [Xenopus laevis], NA","NPR2, NPR1",Natriuretic peptide receptor B guanylate cyclase B (Atrionatriuretic peptide receptor B)
ENOG411CTFR,"gpr142.S, gpr139.L, gpr139.S",NA,"GPR142, GPR139",G protein-coupled receptor
ENOG411CTFS,ccz1b.L,"vacuolar fusion protein CCZ1 homolog [Xenopus laevis], NA","CCZ1B, CCZ1",CCZ1 vacuolar protein trafficking and biogenesis associated
ENOG411CTFT,pcyox1.L,NA,PCYOX1,Prenylcysteine oxidase 1
ENOG411CTFW,nt5dc1.S,"5'-nucleotidase domain containing 1 [Xenopus laevis], NA",NT5DC1,5'-nucleotidase domain containing 1
ENOG411CTFX,"tbkbp1.L, tbkbp1.S",NA,TBKBP1,TBK1 binding protein 1
ENOG411CTG0,"Xetrov90003815m.S, Xetrov90003815m.L",NA,LOXHD1,lipoxygenase homology domains 1
ENOG411CTG1,NA,SUMO-activating enzyme subunit 1 [Xenopus laevis],SAE1,SUMO-1 activating enzyme subunit 1
ENOG411CTG2,"eif5.S, eif5.L","eukaryotic translation initiation factor 5 [Xenopus laevis], NA",EIF5,Eukaryotic translation initiation factor 5
ENOG411CTG3,mettl25.L,NA,METTL25,methyltransferase like 25
ENOG411CTG5,hsd11b2.L,"hydroxysteroid (11-beta) dehydrogenase 2 [Xenopus laevis], NA",HSD11B2,hydroxysteroid (11-beta) dehydrogenase 2
ENOG411CTG6,"dgcr14.S, dgcr14.L","DiGeorge syndrome critical region gene 14 [Xenopus laevis], NA",ESS2,DiGeorge syndrome critical region gene 14
ENOG411CTG7,None,NA,MAGED2,"Melanoma antigen family D, 2"
ENOG411CTG8,"ppm1l.S, ppm1l.L","LOC494827 protein [Xenopus laevis], NA",PPM1L,"protein phosphatase, Mg2 Mn2 dependent, 1L"
ENOG411CTG9,"tmem114.S, tmem114.L",NA,TMEM114,transmembrane protein 114
ENOG411CTGA,"cttn.L, cttn.S, cttn-like.1.L","hypothetical protein LOC398923 [Xenopus laevis], cortactin [Xenopus laevis], Cttn protein [Xenopus laevis], NA",CTTN,Hematopoietic cell-specific lyn substrate 1
ENOG411CTGB,tmem246.L,"LOC100137688 protein [Xenopus laevis], NA",TMEM246,Transmembrane protein 246
ENOG411CTGC,"foxf2.L, foxf2.S","forkhead box protein F1-B [Xenopus laevis], forkhead box protein F1-A [Xenopus laevis], FoxF2 [Xenopus laevis], XFD-13' protein [Xenopus laevis], NA","FOXF2, FOXF1",forkhead box
ENOG411CTGD,"zbtb17.L, zbtb17.S","zinc finger and BTB domain-containing protein 17 [Xenopus laevis], MGC85135 protein [Xenopus laevis], NA",ZBTB17,Zinc finger and BTB domain containing 17
ENOG411CTGE,NA,RecName: Full=PARP1-binding protein; AltName: Full=PARP-1 binding protein,PARPBP,PARP1 binding protein
ENOG411CTGF,dao.L,"D-amino-acid oxidase [Xenopus laevis], NA",DAO,D-amino-acid oxidase
ENOG411CTGG,vash1.L,NA,VASH1,Vasohibin 1
ENOG411CTGH,"s1pr4.L, s1pr4.S",NA,S1PR4,sphingosine-1-phosphate receptor 4
ENOG411CTGI,"txk.L, frk.L, frk.S",NA,FRK,fyn-related kinase
ENOG411CTGJ,NA,UAP56-interacting factor [Xenopus laevis],FYTTD1,Forty-two-three domain containing 1
ENOG411CTGK,"nexn-like.S, nexn-like.L","LOC100158372 protein [Xenopus laevis], NA",NEXN,Nexilin (F actin binding protein)
ENOG411CTGN,cluap1.L,"clusterin associated protein 1 [Xenopus laevis], NA",CLUAP1,Clusterin associated protein 1
ENOG411CTGP,"Xetrov90018212m.L, cdh23-like.1.S, loc101730685.S, Xetrov90018212m.S",NA,CDH23,Cadherin-related 23
ENOG411CTGR,"gls2.L, gls.S, gls.L",NA,"GLS, GLS2",Glutaminase
ENOG411CTGT,dnajb12.L,"DnaJ (Hsp40) homolog, subfamily B, member 12 [Xenopus laevis], NA",DNAJB12,"DnaJ (Hsp40) homolog, subfamily B, member 12"
ENOG411CTGV,"hook2.L, hook1.S, hook3.L, hook3.S, hook1.L, hook2-like.S","protein Hook homolog 3 [Xenopus laevis], protein Hook homolog 2 [Xenopus laevis], LOC445863 protein [Xenopus laevis], NA","HOOK3, HOOK1, HOOK2",Hook homolog
ENOG411CTGW,"hnmt.S, hnmt.L","histamine N-methyltransferase B [Xenopus laevis], histamine N-methyltransferase A [Xenopus laevis], NA",HNMT,Histamine N-methyltransferase
ENOG411CTGX,None,NA,LTBR,"Lymphotoxin beta receptor (TNFR superfamily, member 3)"
ENOG411CTGY,il18rap.L,NA,IL18RAP,Interleukin 18 receptor accessory protein
ENOG411CTGZ,"shank2.L, shank3.S, shank3.L, shank2.S","SH3 and multiple ankyrin repeat domains protein 2 [Xenopus laevis], NA","SHANK1, SHANK3, SHANK2",SH3 and multiple ankyrin repeat domains
ENOG411CTH0,vstm2l.S,"V-set and transmembrane domain containing 2 like precursor [Xenopus laevis], uncharacterized protein LOC734980 [Xenopus laevis], NA",VSTM2L,V-set and transmembrane domain containing 2 like
ENOG411CTH1,"lmbr1l.S, lmbr1l.L, lmbr1.L","protein LMBR1L [Xenopus laevis], NA","LMBR1, LMBR1L",Limb region 1 homolog
ENOG411CTH2,"slc39a13.L, slc39a13.S",NA,SLC39A13,"Solute carrier family 39 (Zinc transporter), member 13"
ENOG411CTH4,"rgs16.L, rgs16.S","Unknown (protein for IMAGE:4963340) [Xenopus laevis], regulators of G protein signaling XRGSI [Xenopus laevis], NA",RGS16,Regulator of G-protein signaling 16
ENOG411CTH6,"mettl9.S, mettl9.L","methyltransferase like 9 precursor [Xenopus laevis], NA",METTL9,methyltransferase like 9
ENOG411CTH8,"spryd3.S, spryd3.L","LOC443651 protein [Xenopus laevis], LOC733386 protein [Xenopus laevis], NA",SPRYD3,SPRY domain containing 3
ENOG411CTH9,ipo7.L,"importin 7 [Xenopus laevis], uncharacterized protein LOC431890 [Xenopus laevis], MGC52556 protein [Xenopus laevis], NA","IPO7, IPO8",importin
ENOG411CTHA,"irak1.L, irak1.S",NA,IRAK1,Interleukin-1 receptor-associated kinase 1
ENOG411CTHB,"agbl5.L, agbl5.S","ATP/GTP binding protein-like 5 [Xenopus laevis], NA",AGBL5,ATP GTP binding protein-like 5
ENOG411CTHC,"kcnk2.L, kcnk2.S, kcnk10.L, kcnk10.S","LOC446288 protein [Xenopus laevis], NA","KCNK10, KCNK2",Potassium channel subfamily K member
ENOG411CTHE,NA,"MGC84053 protein [Xenopus laevis], actin related protein 2/3 complex, subunit 5-like [Xenopus laevis]",ARPC5L,as component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks (By similarity)
ENOG411CTHF,"wnk4.S, wnk4.L",NA,WNK4,WNK lysine deficient protein kinase 4
ENOG411CTHG,"pdss2.L, pdss2.S",NA,PDSS2,"prenyl (decaprenyl) diphosphate synthase, subunit 2"
ENOG411CTHH,rlim.L,"E3 ubiquitin-protein ligase RNF12-A [Xenopus laevis], XRnf12C protein [Xenopus laevis], E3 ubiquitin-protein ligase RNF12-B [Xenopus laevis], XRnf12 [Xenopus laevis], NA","RNF6, RLIM",Ring finger protein
ENOG411CTHI,NA,protein kinase-like protein SgK196 [Xenopus laevis],POMK,protein kinase-like protein SgK196-like
ENOG411CTHJ,NA,"hypothetical protein LOC379145 [Xenopus laevis], myosin, light chain 1, alkali; skeletal, fast [Xenopus laevis], MLC1f/3f [Xenopus laevis]",MYL1,"myosin, light chain 1, alkali"
ENOG411CTHK,adck5.L,"Unknown (protein for IMAGE:7199081) [Xenopus laevis], NA",ADCK5,aarF domain containing kinase 5
ENOG411CTHN,NA,"cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa [Xenopus laevis], Cstf-64-prov protein [Xenopus laevis], polyadenylation factor 64 kDa subunit [Xenopus laevis]",CSTF2,"Cleavage stimulation factor, 3' pre-RNA subunit 2"
ENOG411CTHP,ddx54.S,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 54 [Xenopus laevis], LOC495097 protein [Xenopus laevis], NA",DDX54,DEAD (Asp-Glu-Ala-Asp) box polypeptide 54
ENOG411CTHR,"ptger2.S, ptger2.L","prostaglandin E receptor 2 (subtype EP2), 53kDa [Xenopus laevis], NA",PTGER2,Prostaglandin E receptor 2 (Subtype EP2)
ENOG411CTHS,"tcp11l2.L, tcp11l2.S",NA,TCP11L2,"t-complex 11, testis-specific-like 2"
ENOG411CTHT,rbks.L,"ribokinase [Xenopus laevis], LOC495991 protein [Xenopus laevis], NA",RBKS,Ribokinase
ENOG411CTHU,lrrk2.L,"LOC445832 protein [Xenopus laevis], NA",LRRK2,leucine-rich repeat kinase 2
ENOG411CTHV,"nrdc.S, nrdc.L",NA,NRDC,"Nardilysin, N-arginine dibasic convertase"
ENOG411CTHW,crhbp.L,"Crhbp-A protein [Xenopus laevis], NA",CRHBP,Corticotropin releasing hormone binding protein
ENOG411CTHY,maats1.L,NA,MAATS1,"MYCBP AMY-1-associated, testis expressed 1"
ENOG411CTHZ,dap3.L,NA,DAP3,Death associated protein 3
ENOG411CTI0,None,NA,CLDN11,claudin 11
ENOG411CTI1,"mfsd4a.S, mfsd4a.L",NA,MFSD4A,Major facilitator superfamily domain containing 4
ENOG411CTI2,tmem55b.S,"transmembrane protein 55B [Xenopus laevis], NA",PIP4P1,transmembrane protein 55b
ENOG411CTI3,atf3.S,"activating transcription factor 3 [Xenopus laevis], NA",ATF3,Activating transcription factor 3
ENOG411CTI4,fam188b.L,"uncharacterized protein LOC734836 [Xenopus laevis], NA",MINDY4,"Family with sequence similarity 188, member B"
ENOG411CTI5,c1qbp.L,"complement component 1, q subcomponent binding protein [Xenopus laevis], 38k protein [Xenopus laevis], LOC398432 protein [Xenopus laevis], NA",C1QBP,"complement component 1, q subcomponent binding protein"
ENOG411CTI6,mettl4.S,NA,METTL4,Methyltransferase like 4
ENOG411CTI7,"usp19.S, usp19.L",NA,USP19,ubiquitin specific peptidase 19
ENOG411CTI9,NA,activating signal cointegrator 1 complex subunit 2 [Xenopus laevis],ASCC2,activating signal cointegrator 1 complex subunit 2
ENOG411CTIA,"Xelaev18027901m.g, loc100489793.S, loc100489252.L, slc19a2.L, loc100489793.L, slc19a3.L, Xelaev18027904m.g","MGC52872 protein [Xenopus laevis], uncharacterized protein LOC431907 [Xenopus laevis], NA","SLC19A2, SLC19A3",Solute carrier family 19
ENOG411CTIB,"rnf146.S, rnf146.L","E3 ubiquitin-protein ligase rnf146 [Xenopus laevis], NA",RNF146,RING finger protein 146
ENOG411CTIC,"syvn1.S, syvn1.L","E3 ubiquitin-protein ligase synoviolin B precursor [Xenopus laevis], E3 ubiquitin-protein ligase synoviolin A precursor [Xenopus laevis], NA",SYVN1,"Synovial apoptosis inhibitor 1, synoviolin"
ENOG411CTID,tpd52l2.S,"tumor protein D52-like 2 [Xenopus laevis], MGC80873 protein [Xenopus laevis], NA",TPD52L2,Tumor protein D52-like 2
ENOG411CTIE,"loc101734703.L, loc101734703.S",NA,FAT2,FAT tumor suppressor homolog 2 (Drosophila)
ENOG411CTIG,"hdx.L, hdx.S",NA,HDX,Highly divergent homeobox
ENOG411CTIH,NA,exosome component 3 [Xenopus laevis],EXOSC3,Exosome component 3
ENOG411CTIJ,"wdr43.L, wdr43.S","LOC398447 protein [Xenopus laevis], LOC100101293 protein [Xenopus laevis], NA",WDR43,WD repeat domain 43
ENOG411CTIK,igbp1.L,"immunoglobulin (CD79A) binding protein 1 [Xenopus laevis], NA","IGBP1, NA",Immunoglobulin (CD79A) binding protein 1
ENOG411CTIM,"mdfic.L, mdfic.S, Xelaev18021082m.g","I-mfa domain protein XIC [Xenopus laevis], NA",MDFIC,MyoD family inhibitor domain containing
ENOG411CTIN,"nfkb2.L, nfkb1.S, nfkb1.L","nuclear factor NF-kappa-B p100 subunit [Xenopus laevis], nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 [Xenopus laevis], LOC397698 protein [Xenopus laevis], NA","NFKB1, NFKB2",nuclear factor of kappa light polypeptide gene enhancer in B-cells
ENOG411CTIP,mrpl47.L,NA,MRPL47,mitochondrial ribosomal protein L47
ENOG411CTIR,tbcel.S,"tubulin folding cofactor E-like [Xenopus laevis], NA","TBCEL, NA",Tubulin folding cofactor E-like
ENOG411CTIS,pomgnt2.S,"chromosome 3 open reading frame 39 precursor [Xenopus laevis], Glycosyltransferase [Xenopus laevis], NA",POMGNT2,glycosyltransferase-like domain containing 2
ENOG411CTIT,"slc12a4.S, slc12a6.L, slc12a6.S","K-Cl cotransporter [Xenopus laevis], LOC398663 protein [Xenopus laevis], NA","SLC12A4, SLC12A6","Solute carrier family 12 (Potassium chloride transporters), member"
ENOG411CTIU,NA,methyltransferase like 5 [Xenopus laevis],METTL5,methyltransferase like 5
ENOG411CTIV,"rep15.L, rep15.S",NA,REP15,rab15 effector protein
ENOG411CTIW,"Xetrov90003391m.S, Xetrov90003391m.L",NA,BDP1,"B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB"
ENOG411CTIX,None,NA,NA,FAD binding domain of DNA photolyase
ENOG411CTIY,snrpb.L,"Snrpn protein [Xenopus laevis], small nuclear ribonucleoprotein polypeptides B and B1 [Xenopus laevis], Snrpn-prov protein [Xenopus laevis], NA","SNRPB, SNRPN",small nuclear ribonucleoprotein-associated protein
ENOG411CTIZ,"bcl3.S, bcl3.L",NA,BCL3,B-cell CLL lymphoma 3
ENOG411CTJ0,"sel1l.L, sel1l.S","sel-1 suppressor of lin-12-like precursor [Xenopus laevis], NA","SEL1L, SEL1L2",Sel-1 suppressor of lin-12-like
ENOG411CTJ1,"znf469.L, znf469.S",NA,ZNF469,zinc finger protein 469
ENOG411CTJ2,esr2.L,"gonad estrogen receptor beta1 [Xenopus laevis], gonad estrogen receptor beta2 [Xenopus laevis], NA",ESR2,Estrogen receptor 2 (ER beta)
ENOG411CTJ4,"nfkbia.L, nfkbia.S","nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha [Xenopus laevis], uncharacterized protein LOC734297 [Xenopus laevis], NA",NFKBIA,"Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha"
ENOG411CTJ5,"nup35.S, nup35.L","uncharacterized protein LOC432239 [Xenopus laevis], nucleoporin 35kDa [Xenopus laevis], MGC64281 protein [Xenopus laevis], mitotic phosphoprotein 44 [Xenopus laevis], NA",NUP35,Nucleoporin 35kDa
ENOG411CTJ6,NA,"insulin-like growth factor 2 mRNA-binding protein 3-A [Xenopus laevis], insulin-like growth factor 2 mRNA-binding protein 3-B [Xenopus laevis]","IGF2BP1, IGF2BP3, IGF2BP2",insulin-like growth factor 2 mRNA binding protein
ENOG411CTJ7,ccdc30.L,NA,CCDC30,coiled-coil domain containing 30
ENOG411CTJB,nek7.L,"LOC100036860 protein [Xenopus laevis], NIMA-related kinase 7 [Xenopus laevis], NIMA-related kinase 6 [Xenopus laevis], NA","NEK6, NEK7",NIMA-related kinase
ENOG411CTJC,hoxa13.S,"Unknown (protein for MGC:160241) [Xenopus laevis], homeobox A13 [Xenopus laevis], NA",HOXA13,homeobox A13
ENOG411CTJD,"tgfbrap1.L, tgfbrap1.S",NA,TGFBRAP1,"transforming growth factor, beta receptor associated protein 1"
ENOG411CTJE,NA,RecName: Full=Nuclear nucleic acid-binding protein C1D,C1D,C1D nuclear receptor co-repressor
ENOG411CTJF,"nsa2.S, nsa2.L","NSA2 ribosome biogenesis homolog [Xenopus laevis], NA",NSA2,NSA2 ribosome biogenesis homolog (S. cerevisiae)
ENOG411CTJG,mfhas1.L,NA,MFHAS1,Malignant fibrous histiocytoma amplified sequence 1
ENOG411CTJH,mipol1.L,NA,MIPOL1,mirror-image polydactyly 1
ENOG411CTJI,"kiaa0430.S, kiaa0430.L",NA,MARF1,kiaa0430
ENOG411CTJJ,"gpr75.S, gpr75.L","MGC84081 protein [Xenopus laevis], probable G-protein coupled receptor 75 [Xenopus laevis], NA",GPR75,G protein-coupled receptor 75
ENOG411CTJK,ddo.L,NA,DDO,D-aspartate oxidase
ENOG411CTJM,"lyl1.L, lyl1.S",NA,LYL1,lymphoblastic leukemia derived sequence 1
ENOG411CTJP,tysnd1.L,NA,TYSND1,trypsin domain containing 1
ENOG411CTJQ,"gpr52.S, gpr21.L, gpr52.L, gpr21.S",NA,"GPR52, GPR21",G- protein-coupled receptor
ENOG411CTJR,"loc100495642-like.L, abhd12.S, abhd12.L",NA,"ABHD12, ABHD12B",Abhydrolase domain containing
ENOG411CTJS,"or51g2.L, or51e1.L, Xelaev18013950m.g, or51e1.S",NA,"OR51E1, OR51E2, OR51G2","Olfactory receptor, family 51, subfamily"
ENOG411CTJU,"arid4a.S, arid4b.L, Xelaev18002442m.g, arid4a.L, arid4b.S","AT rich interactive domain 4A (RBP1-like) [Xenopus laevis], NA","ARID4A, ARID4B",At rich interactive domain
ENOG411CTJV,NA,"RecName: Full=Putative ATP-dependent RNA helicase an3, DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked [Xenopus laevis], ATP dependent RNA helicase, Unknown (protein for MGC:115016) [Xenopus laevis]","DDX3X, DDX3Y",DEAD (Asp-Glu-Ala-Asp) box polypeptide 3
ENOG411CTJX,"dld.L, dld.S","dihydrolipoamide dehydrogenase [Xenopus laevis], NA",DLD,dihydrolipoamide dehydrogenase
ENOG411CTJZ,anks6.L,NA,ANKS6,ankyrin repeat and sterile alpha motif domain containing 6
ENOG411CTK0,"slk-like.L, slk.S, slk.L",NA,"SLK, STK10",serine threonine kinase 10
ENOG411CTK1,NA,nuclear VCP-like [Xenopus laevis],NVL,Nuclear VCP-like
ENOG411CTK2,"srrm2.S, srrm2.L","Unknown (protein for IMAGE:7297131) [Xenopus laevis], LOC445830 protein [Xenopus laevis], LOC446275 protein [Xenopus laevis], NA",SRRM2,Serine arginine repetitive matrix 2
ENOG411CTK3,"Xelaev18045725m.g, Xelaev18028399m.g, Xelaev18019500m.g, loc100487552.L, Xelaev18035717m.g, Xelaev18045741m.g, Xetrov90002631m.L, Xelaev18045714m.g, Xelaev18013515m.g, Xelaev18035711m.g, Xelaev18045744m.g, Xelaev18035712m.g, Xelaev18047865m.g, loc101733450.L, loc105946865.L, Xelaev18018114m.g, Xelaev18019504m.g, loc101735243.L, Xelaev18047918m.g, Xelaev18034400m.g, Xelaev18007515m.g, Xelaev18047869m.g, Xelaev18041393m.g, or8a1.L, Xelaev18034401m.g, Xelaev18045728m.g, Xelaev18018118m.g, Xelaev18035714m.g, Xelaev18047925m.g, Xelaev18045719m.g, loc105947908.L, Xelaev18047919m.g, Xelaev18020717m.g, Xelaev18004571m.g, Xelaev18047917m.g, Xelaev18018728m.g, Xelaev18001009m.g, loc100488661.L, Xelaev18045720m.g, loc100491470.S, loc100491134.L, loc101734160.L, Xelaev18013516m.g, Xelaev18001008m.g, Xelaev18035716m.g, Xelaev18045735m.g, Xelaev18045718m.g, loc101735291.L, loc100488591.L, Xelaev18047923m.g, Xelaev18035713m.g, loc100491639.L, Xelaev18020721m.g, loc101732890.S, Xelaev18045737m.g, Xelaev18047866m.g, Xelaev18045740m.g, loc100485127.L, Xelaev18045721m.g, Xelaev18046017m.g, Xelaev18020718m.g, loc101732303.L, loc101732365.L, Xelaev18047863m.g, Xelaev18018117m.g, loc101730267.L, loc100491961.S, Xelaev18045717m.g, Xelaev18019505m.g, Xelaev18037551m.g","olfactory receptor [Xenopus laevis], NA","OR5AR1, OR5J2, OR5AS1, OR8I2",Olfactory receptor
