accession,eggnogID,number_of_unique_peptides,number_of_peptides,total_PSMs,ctrl_abundance,exp_abundance,mean_abundance,abundance_fc,abundance_log2fc,ctrl_PSMs,exp_PSMs,PSM_fc,PSM_log2fc,PSM_zscore,XL_ID,XL_ID_source,XENLA_XenBase_GeneNames,XENLA_GenBank_Description,HUMAN_UniProtID,HUMAN_GeneNames_Primary,HUMAN_GeneNames_Synonyms,eggNOG_annotation,bait
ENOG411CQPC,ENOG411CQPC,11,11,30,25297652.515625,32277836.066406302,28787744.29101565,1.2759221847351259,0.3515403454664115,13,17,1.12645415857226,0.17178860381200362,0.34440997065806017,"148231863, Xelaev18023189m.g","GenBank, Xenbase_9.1",cpt2.L,"carnitine O-palmitoyltransferase 2, mitochondrial precursor [Xenopus laevis], NA",P23786,CPT2,CPT1,Carnitine palmitoyltransferase 2,heatr2
ENOG411CPP5,ENOG411CPP5,7,7,12,4950536.84375,3735899.453125,4343218.1484375,-1.3251258246816524,-0.40612935441222797,5,7,1.1681746829638253,0.22425602370613928,0.3380352144743512,"11035016, 148228303, 158429118, Xelaev18038781m.g, Xelaev18009263m.g, Xelaev18000122m.g","GenBank, Xenbase_9.1","smarca1.L, smarca5.S, smarca5.L","imitation switch ISWI [Xenopus laevis], SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5 [Xenopus laevis], Chain A, Sant Domain Structure Of Xenopus Remodeling Factor Iswi, NA","O60264, P28370","SMARCA5, SMARCA1","SNF2H WCRF135, SNF2L SNF2L1","SWI SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member",heatr2
ENOG411CWP3,ENOG411CWP3,8,8,12,1685150.0390625,2709106.453125,2197128.24609375,1.6076351602686714,0.6849400357504878,5,7,1.1681746829638253,0.22425602370613928,0.3380352144743512,"147899589, 213626291, 4322107, Xelaev18036724m.g","GenBank, Xenbase_9.1",ncapd2.S,"condensin complex subunit 1 [Xenopus laevis], LOC398080 protein [Xenopus laevis], pEg7 [Xenopus laevis], NA",Q15021,NCAPD2,CAPD2 CNAP1 KIAA0159,"Regulatory subunit of the condensin complex, a complex required for conversion of interphase chromatin into mitotic-like condense chromosomes. The condensin complex probably introduces positive supercoils into relaxed DNA in the presence of type I topoisomerases and converts nicked DNA into positive knotted forms in the presence of type II topoisomerases (By similarity)",heatr2
ENOG411CQD2,ENOG411CQD2,5,5,12,3759502.21875,4322313.78125,4040908,1.1497037452705985,0.20126215656883772,5,7,1.1681746829638253,0.22425602370613928,0.3380352144743512,"148226320, Xelaev18034833m.g, Xelaev18017162m.g, Xelaev18021484m.g, Xelaev18037093m.g","GenBank, Xenbase_9.1","p4ha1-like.1.L, p4ha2.L, p4ha2.S, p4ha1-like.1.S","prolyl 4-hydroxylase, alpha polypeptide 2 precursor [Xenopus laevis], NA","P13674, O15460","P4HA1, P4HA2","P4HA, NA","Prolyl 4-hydroxylase, alpha polypeptide",heatr2
ENOG411CSV8,ENOG411CSV8,5,5,12,11146822.84375,7111706.34375,9129264.59375,-1.567390764601268,-0.648364901490184,5,7,1.1681746829638253,0.22425602370613928,0.3380352144743512,"148225532, 148232361, Xelaev18012626m.g, Xelaev18004060m.g, Xelaev18033719m.g","GenBank, Xenbase_9.1","lypla2.L, lypla2.S, lypla1.S","lysophospholipase II [Xenopus laevis], lysophospholipase I [Xenopus laevis], NA","O75608, O95372","LYPLA1, LYPLA2","APT1 LPL1, APT2",lysophospholipase,heatr2
ENOG411D0RV,ENOG411D0RV,4,4,12,18716365.125,17838848.3125,18277606.71875,-1.0491913377549775,-0.06927780170760034,5,7,1.1681746829638253,0.22425602370613928,0.3380352144743512,"49670406, Xelaev18021410m.g, Xelaev18017255m.g","GenBank, Xenbase_9.1","rpl26.S, rpl26.L","Unknown (protein for MGC:81816) [Xenopus laevis], NA","P61254, Q9UNX3","RPL26, RPL26L1","NA, RPL26P1",ribosomal protein,heatr2
ENOG411CVBD,ENOG411CVBD,8,8,21,14696482.828125,32888779.34375,23792631.0859375,2.237867367885463,1.162124534364301,9,12,1.1389703158897297,0.18773014768102536,0.3335786656717076,"147902994, 148232543, Xelaev18030881m.g, Xelaev18032980m.g","GenBank, Xenbase_9.1","pon2.L, pon2.S","uncharacterized protein LOC432039 [Xenopus laevis], paraoxonase 2 [Xenopus laevis], NA","Q15165, P27169, Q15166","PON2, PON1, PON3","NA, PON",paraoxonase,heatr2
ENOG411CQQF,ENOG411CQQF,10,10,21,15658736.046875,18691549.3125,17175142.6796875,1.1936818691206086,0.25541839188191723,9,12,1.1389703158897297,0.18773014768102536,0.3335786656717076,"123895418, 148225368, Xelaev18024927m.g","GenBank, Xenbase_9.1",usp10.S,"RecName: Full=Ubiquitin carboxyl-terminal hydrolase 10-A; AltName: Full=Deubiquitinating enzyme 10-A; AltName: Full=Ubiquitin thiolesterase 10-A; AltName: Full=Ubiquitin-specific-processing protease 10-A, ubiquitin carboxyl-terminal hydrolase 10-B [Xenopus laevis], NA",Q14694,USP10,KIAA0190,ubiquitin specific peptidase 10,heatr2
ENOG411CX94,ENOG411CX94,7,7,21,8579111.609375,7345513.0546875,7962312.33203125,-1.1679390596005117,-0.22396499964106112,9,12,1.1389703158897297,0.18773014768102536,0.3335786656717076,Xelaev18026725m.g,Xenbase_9.1,ttc27.L,NA,Q6P3X3,TTC27,NA,Tetratricopeptide repeat domain 27,heatr2
ENOG411CPDR,ENOG411CPDR,59,59,236,612029444.160156,715502553.136719,663765998.6484375,1.169065573501209,0.22535585366067673,107,129,1.0546021443423423,0.07669883529228148,0.32499660117017204,"125858814, 147898991, 147901600, 147902846, Xelaev18039676m.g, Xelaev18022349m.g, Xelaev18041207m.g, Xelaev18024161m.g","GenBank, Xenbase_9.1","pygl.L, loc100491051-like.L, pygl.S, loc100491051-like.S","LOC100037229 protein [Xenopus laevis], uncharacterized protein LOC432134 [Xenopus laevis], liver glycogen phosphorylase [Xenopus laevis], brain glycogen phosphorylase [Xenopus laevis], NA","P11216, P11217, P06737","PYGB, PYGM, PYGL",NA,"Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties (By similarity)",heatr2
ENOG411CQFY,ENOG411CQFY,37,37,166,371819981.314454,401176067.292969,386498024.30371153,1.0789524163675541,0.10963124092945507,75,91,1.0605796463750519,0.08485296704072275,0.3148493391217072,"148232533, Xelaev18017545m.g","GenBank, Xenbase_9.1",cct2.L,"chaperonin containing TCP1, subunit 2 (beta) [Xenopus laevis], NA",P78371,CCT2,99D8.1 CCTB,"Chaperonin containing TCP1, subunit 2 (Beta)",heatr2
ENOG411CTA9,ENOG411CTA9,25,25,87,104983542.3125,105768948.046875,105376245.1796875,1.007481227219759,0.010752956719214567,39,48,1.0732604899730145,0.10200027365514129,0.29634894329503836,"147901189, 148235919, 48734648, Xelaev18032984m.g","GenBank, Xenbase_9.1",slc25a13.S,"solute carrier family 25, member 13 (citrin) [Xenopus laevis], solute carrier family 25 (mitochondrial carrier, Aralar), member 12 [Xenopus laevis], LOC443574 protein [Xenopus laevis], NA","O75746, Q9UJS0","SLC25A12, SLC25A13","ARALAR1, ARALAR2","solute carrier family 25 (aspartate glutamate carrier), member",heatr2
ENOG411D3MV,ENOG411D3MV,2,2,5,5019474.6875,3426147.484375,4222811.0859375,-1.4650492164716766,-0.5509491309730891,2,3,1.1681746829638253,0.22425602370613928,0.29580398788127926,"Xelaev18009819m.g, Xelaev18006288m.g",Xenbase_9.1,"ndufa7-like.S, ndufa7.L",NA,O95182,NDUFA7,NA,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,heatr2
ENOG411D35V,ENOG411D35V,4,4,5,9555068,8757261.84375,9156164.921875,-1.0911022384033646,-0.12578629132865343,2,3,1.1681746829638253,0.22425602370613928,0.29580398788127926,148236211,GenBank,NA,brain protein 44 [Xenopus laevis],O95563,MPC2,BRP44,mitochondrial pyruvate carrier 2,heatr2
ENOG411CRB0,ENOG411CRB0,2,2,5,1060955.28125,1265355.3125,1163155.296875,1.192656594356342,0.2541787027668911,2,3,1.1681746829638253,0.22425602370613928,0.29580398788127926,148234660,GenBank,NA,uncharacterized protein LOC734750 [Xenopus laevis],Q9HCN4,GPN1,MBDIN RPAP4 XAB1,GPN-loop GTPase 1,heatr2
ENOG411D28K,ENOG411D28K,3,3,5,6387889.4375,7163823.3125,6775856.375,1.1214695217554789,0.16539041274721789,2,3,1.1681746829638253,0.22425602370613928,0.29580398788127926,"148223225, Xelaev18008300m.g, Xelaev18010968m.g","GenBank, Xenbase_9.1","ndufs4.L, ndufs4.S","NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase) [Xenopus laevis], NA",O43181,NDUFS4,NA,"NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)",heatr2
ENOG411D0C1,ENOG411D0C1,2,2,5,1005119.703125,1132691.859375,1068905.78125,1.126922351490442,0.17238811268940965,2,3,1.1681746829638253,0.22425602370613928,0.29580398788127926,"163915573, Xelaev18031534m.g, Xelaev18033469m.g","GenBank, Xenbase_9.1","gad1.2.L, gad1.2.S","LOC100137647 protein [Xenopus laevis], NA",NA,NA,NA,Glutamate decarboxylase,heatr2
ENOG411CQKF,ENOG411CQKF,1,3,5,9807822.125,7816873.59375,8812347.859375,-1.254698826502947,-0.32734110628395074,2,3,1.1681746829638253,0.22425602370613928,0.29580398788127926,"147902495, 148222671, 148236273, 148236454, Xelaev18036711m.g, Xelaev18029688m.g","GenBank, Xenbase_9.1","gnb3.S, gnb4.S","guanine nucleotide binding protein (G protein), beta polypeptide 4 [Xenopus laevis], guanine nucleotide binding protein (G protein), beta polypeptide 1 [Xenopus laevis], guanine nucleotide binding protein (G protein), beta polypeptide 3 [Xenopus laevis], MGC84000 protein [Xenopus laevis], NA","P62873, P62879, Q9HAV0, P16520","GNB1, GNB2, GNB4, GNB3",NA,"Guanine nucleotide binding protein (G protein), beta polypeptide",heatr2
ENOG411CURN,ENOG411CURN,4,4,5,5318206.4296875,5341118.265625,5329662.34765625,1.004308188529426,0.0062020519941396604,2,3,1.1681746829638253,0.22425602370613928,0.29580398788127926,"148226587, 148238253, Xelaev18041734m.g","GenBank, Xenbase_9.1",bcap31.S,"B-cell receptor-associated protein 31 [Xenopus laevis], MGC84076 protein [Xenopus laevis], NA",P51572,BCAP31,BAP31 DXS1357E,B-cell receptor-associated protein 31,heatr2
ENOG411CZRP,ENOG411CZRP,4,4,5,694143.921875,1391555.93359375,1042849.927734375,2.0047080868113376,1.0033921756476818,2,3,1.1681746829638253,0.22425602370613928,0.29580398788127926,Xelaev18006732m.g,Xenbase_9.1,focad.L,NA,Q5VW36,FOCAD,KIAA1797,focadhesin,heatr2
ENOG411CQ9Z,ENOG411CQ9Z,3,3,5,3920307.234375,4134237.28125,4027272.2578125,1.0545697145874604,0.07665447072677581,2,3,1.1681746829638253,0.22425602370613928,0.29580398788127926,147904022,GenBank,NA,thioredoxin-related transmembrane protein 2 precursor [Xenopus laevis],Q9Y320,TMX2,TXNDC14,thioredoxin-related transmembrane protein,heatr2
ENOG411CVZW,ENOG411CVZW,2,2,5,3065392.1875,3584072.4375,3324732.3125,1.1692051842876956,0.225528131219969,2,3,1.1681746829638253,0.22425602370613928,0.29580398788127926,"148225758, Xelaev18000878m.g","GenBank, Xenbase_9.1",cops6.S,"COP9 signalosome complex subunit 6 [Xenopus laevis], NA",Q7L5N1,COPS6,CSN6 HVIP,COP9 constitutive photomorphogenic homolog subunit 6 (Arabidopsis),heatr2
ENOG411CZ9T,ENOG411CZ9T,1,1,5,8631467.5,6648920.5,7640194,-1.2981757715406583,-0.3764857358499319,2,3,1.1681746829638253,0.22425602370613928,0.29580398788127926,"Xelaev18011284m.g, Xelaev18014432m.g",Xenbase_9.1,"fam162a.L, fam162a.S",NA,Q96A26,FAM162A,C3orf28 E2IG5,"Family with sequence similarity 162, member",heatr2
ENOG411CZ7S,ENOG411CZ7S,3,3,5,2676248.90625,2106350.609375,2391299.7578125,-1.270561935101631,-0.34546670304661825,2,3,1.1681746829638253,0.22425602370613928,0.29580398788127926,"183985548, Xelaev18039997m.g","GenBank, Xenbase_9.1",aqr.L,"LOC100158447 protein [Xenopus laevis], NA",O60306,AQR,KIAA0560,Aquarius homolog (Mouse),heatr2
ENOG411CQMI,ENOG411CQMI,2,2,5,3187803.375,1613063.984375,2400433.6796875,-1.9762411199300012,-0.9827589799717635,2,3,1.1681746829638253,0.22425602370613928,0.29580398788127926,"147900189, 148236625",GenBank,NA,"uncharacterized protein LOC494689 precursor [Xenopus laevis], glutathione peroxidase 7 precursor [Xenopus laevis]",Q96SL4,GPX7,GPX6,Glutathione peroxidase 7,heatr2
ENOG411CU8V,ENOG411CU8V,3,3,5,1799725.34375,2448199.625,2123962.484375,1.3603184694275658,0.44394444594423055,2,3,1.1681746829638253,0.22425602370613928,0.29580398788127926,"147900237, Xelaev18041372m.g, Xelaev18039450m.g","GenBank, Xenbase_9.1","eif2b2.S, eif2b2.L","eukaryotic translation initiation factor 2B, subunit 2 beta, 39kDa [Xenopus laevis], NA",P49770,EIF2B2,EIF2BB,"Eukaryotic translation initiation factor 2B, subunit 2 beta",heatr2
ENOG411CW12,ENOG411CW12,2,2,5,1086757.6875,1357589,1222173.34375,1.2492103949345195,0.3210164794807989,2,3,1.1681746829638253,0.22425602370613928,0.29580398788127926,"148222773, Xelaev18043979m.g","GenBank, Xenbase_9.1",pigt.L,"phosphatidylinositol glycan anchor biosynthesis, class T precursor [Xenopus laevis], NA",Q969N2,PIGT,NA,"phosphatidylinositol glycan anchor biosynthesis, class T",heatr2
ENOG411CYB8,ENOG411CYB8,2,2,5,1908389.015625,2598630.8125,2253509.9140625,1.361688204670862,0.44539639713041523,2,3,1.1681746829638253,0.22425602370613928,0.29580398788127926,"120537994, 148229971, 68533748, Xelaev18005363m.g, Xelaev18005364m.g, Xelaev18005367m.g, Xelaev18009128m.g","GenBank, Xenbase_9.1","loc100486222.L, Xelaev18005364m.g, casp3.L, casp3.S","LOC100036910 protein [Xenopus laevis], caspase-3 [Xenopus laevis], Unknown (protein for MGC:114987) [Xenopus laevis], NA",P42574,CASP3,CPP32,"caspase 3, apoptosis-related cysteine peptidase",heatr2
ENOG411CY0M,ENOG411CY0M,2,2,5,1742637.59375,1481140.671875,1611889.1328125,-1.1765510372110481,-0.2345639041017319,2,3,1.1681746829638253,0.22425602370613928,0.29580398788127926,"148233462, Xelaev18036997m.g, Xelaev18034782m.g","GenBank, Xenbase_9.1","hnrnph3.S, hnrnph3.L","heterogeneous nuclear ribonucleoprotein H3 (2H9) [Xenopus laevis], NA",NA,NA,NA,Heterogeneous nuclear ribonucleoprotein H3 (2H9),heatr2
ENOG411CUJM,ENOG411CUJM,2,2,5,1159699.4140625,674689.015625,917194.21484375,-1.7188651174174066,-0.7814563382610549,2,3,1.1681746829638253,0.22425602370613928,0.29580398788127926,"148222466, 7239236, Xelaev18033572m.g, Xelaev18033571m.g","GenBank, Xenbase_9.1","rnmt.S, Xelaev18033571m.g","mRNA cap guanine-N7 methyltransferase [Xenopus laevis], mRNA (guanine-7-)-methyltransferase [Xenopus laevis], NA",O43148,RNMT,KIAA0398,RNA (guanine-7-) methyltransferase,heatr2
ENOG411CVID,ENOG411CVID,2,2,5,845461.90625,988755.65625,917108.78125,1.169485755586046,0.22587428967621184,2,3,1.1681746829638253,0.22425602370613928,0.29580398788127926,148224361,GenBank,NA,translocase of inner mitochondrial membrane 44 [Xenopus laevis],O43615,TIMM44,MIMT44 TIM44,Translocase of inner mitochondrial membrane 44 homolog (Yeast),heatr2
ENOG411CVMU,ENOG411CVMU,2,2,5,901008.71875,1559136.32421875,1230072.521484375,1.7304342253000535,0.7911341049608187,2,3,1.1681746829638253,0.22425602370613928,0.29580398788127926,"148230557, 148232385, 148234092, 77748199, Xelaev18028041m.g, Xelaev18033920m.g, Xelaev18028040m.g","GenBank, Xenbase_9.1","rrm2.1.L, rrm2b.S, rrm2.2.L","ribonucleotide reductase M2 polypeptide [Xenopus laevis], ribonucleotide reductase M2, gene 1 [Xenopus laevis], ribonucleotide reductase M2 B (TP53 inducible) [Xenopus laevis], MGC78958 protein [Xenopus laevis], NA","P31350, Q7LG56","RRM2, RRM2B","RR2, P53R2",ribonucleotide reductase M2,heatr2
ENOG411CQ4Z,ENOG411CQ4Z,2,2,5,1001402.5,657071.28125,829236.890625,-1.5240393676846609,-0.6079001697799737,2,3,1.1681746829638253,0.22425602370613928,0.29580398788127926,"161611760, Xelaev18015205m.g, Xelaev18012531m.g","GenBank, Xenbase_9.1","mrps15.S, mrps15.L","LOC100127328 protein [Xenopus laevis], NA",P82914,MRPS15,RPMS15,mitochondrial ribosomal protein S15,heatr2
ENOG411DG52,ENOG411DG52,1,1,5,1881429.25,859840.84375,1370635.046875,-2.188113374324689,-1.1296874914844337,2,3,1.1681746829638253,0.22425602370613928,0.29580398788127926,"148227538, Xelaev18014036m.g, Xelaev18016380m.g, Xelaev18016381m.g","GenBank, Xenbase_9.1","Xelaev18014036m.g, Xelaev18016380m.g, Xelaev18016381m.g","synaptotagmin-like 2 [Xenopus laevis], NA",NA,NA,NA,Synaptotagmin-like 2,heatr2
ENOG411CPGE,ENOG411CPGE,2,2,5,595650.8046875,832023.5390625,713837.171875,1.3968310501972876,0.4821575341456811,2,3,1.1681746829638253,0.22425602370613928,0.29580398788127926,"115528351, 351542215, 37748547, Xelaev18041032m.g, Xelaev18039964m.g","GenBank, Xenbase_9.1","exd2.S, exd2.L","LOC100158397 protein [Xenopus laevis], exonuclease 3'-5' domain containing 2 [Xenopus laevis], MGC68561 protein [Xenopus laevis], NA",Q9NVH0,EXD2,C14orf114 EXDL2,Exonuclease 3'-5' domain containing 2,heatr2
ENOG411CY7Q,ENOG411CY7Q,2,2,5,484938.734375,533525.4375,509232.0859375,1.1001914255985752,0.13775456441780345,2,3,1.1681746829638253,0.22425602370613928,0.29580398788127926,"120538277, Xelaev18013471m.g, Xelaev18015960m.g","GenBank, Xenbase_9.1","tsfm.L, tsfm.S","LOC100036913 protein [Xenopus laevis], NA",P43897,TSFM,NA,Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome (By similarity),heatr2
ENOG411CU0S,ENOG411CU0S,2,2,5,1378516.75,1379695.140625,1379105.9453125,1.00085482503205,0.0012327250274938722,2,3,1.1681746829638253,0.22425602370613928,0.29580398788127926,"148236261, 1490632, 1490634, 18413581, 18413583, 18413585, 18413589, 18413591, 18413593, 18413596, Xelaev18034656m.g, Xelaev18036950m.g","GenBank, Xenbase_9.1","btrc.L, btrc.S","beta-TrCP [Xenopus laevis], beta-transducin repeat containing protein-2 [Xenopus laevis], beta-transducin repeat containing protein-3 [Xenopus laevis], beta-TrCP protein [Xenopus laevis], NA","Q9Y297, Q9UKB1","BTRC, FBXW11","BTRCP FBW1A FBXW1A, BTRCP2 FBW1B FBXW1B KIAA0696",F-box and WD repeat domain containing 11,heatr2
ENOG411D0AX,ENOG411D0AX,2,2,5,2303749.9375,2870729.90625,2587239.921875,1.246111767393157,0.31743347368478886,2,3,1.1681746829638253,0.22425602370613928,0.29580398788127926,"148236849, Xelaev18037091m.g","GenBank, Xenbase_9.1",ecd.S,"ecdysoneless homolog [Xenopus laevis], NA",O95905,ECD,NA,ecdysoneless homolog (Drosophila),heatr2
ENOG411D0JQ,ENOG411D0JQ,1,1,5,325379.96875,324853.203125,325116.5859375,-1.0016215497336418,-0.002337507079065417,2,3,1.1681746829638253,0.22425602370613928,0.29580398788127926,"147902531, 147904477, Xelaev18016447m.g","GenBank, Xenbase_9.1",ppme1.S,"protein phosphatase methylesterase 1 [Xenopus laevis], MGC84679 protein [Xenopus laevis], NA",Q9Y570,PPME1,PME1,Protein phosphatase methylesterase 1,heatr2
ENOG411CRPT,ENOG411CRPT,17,17,54,43685216.09375,44423654.7734375,44054435.43359375,1.016903628863888,0.024182962629018603,24,30,1.0864024551563576,0.11955864503944602,0.2920452618399757,"147898735, 147903521, 148233018, 31747013, 80477555, Xelaev18031696m.g, Xelaev18033484m.g","GenBank, Xenbase_9.1","cap2.L, cap2.S","similar to adenylyl cyclase-associated protein [Xenopus laevis], CAP, adenylate cyclase-associated protein, 2 [Xenopus laevis], CAP, adenylate cyclase-associated protein 1 [Xenopus laevis], cyclase-associated protein 1b [Xenopus laevis], MGC52725 protein [Xenopus laevis], NA","P40123, Q01518","CAP2, CAP1","NA, CAP","CAP, adenylate cyclase-associated protein",heatr2
ENOG411CWQE,ENOG411CWQE,18,18,54,67633967.78125,33114380.8203125,50374174.30078125,-2.042434921197833,-1.0302901100179875,24,30,1.0864024551563576,0.11955864503944602,0.2920452618399757,"47507516, 49118966, Xelaev18031826m.g, Xelaev18004721m.g, Xelaev18024887m.g","GenBank, Xenbase_9.1","afg3l2.L, afg3l1p.L, afg3l1p.S","LOC432063 protein [Xenopus laevis], LOC443667 protein [Xenopus laevis], NA",Q9Y4W6,AFG3L2,NA,AFG3 ATPase family member 3-like 2 (S. cerevisiae),heatr2
ENOG411CU2K,ENOG411CU2K,8,8,23,55810554.9765625,78013456.40625,66912005.69140625,1.3978262075876426,0.4831850008868376,10,13,1.1150758337381967,0.1571418278476021,0.28704915469078635,Xelaev18016912m.g,Xenbase_9.1,gemin5.L,NA,Q8TEQ6,GEMIN5,NA,gem (nuclear organelle) associated protein 5,heatr2
ENOG411CSUI,ENOG411CSUI,6,6,23,24259747.09375,35513223.34375,29886485.21875,1.4638744256694751,0.5497918014128893,10,13,1.1150758337381967,0.1571418278476021,0.28704915469078635,"147899575, 148232276, 21952442, Xelaev18009454m.g, Xelaev18005766m.g","GenBank, Xenbase_9.1","hpgds.S, hpgds.L","prostaglandin D2 synthase, hematopoietic a [Xenopus laevis], prostaglandin D2 synthase, hematopoietic b [Xenopus laevis], glutathione s-transferase [Xenopus laevis], NA",NA,NA,NA,hematopoietic prostaglandin D synthase,heatr2
ENOG411CVBZ,ENOG411CVBZ,37,37,100,86531668.5625,117408287.41015631,101969977.98632815,1.3568244939753447,0.44023411939597057,45,55,1.0665942757495794,0.09301149042788642,0.28181773429733414,"148231021, Xelaev18015280m.g, Xelaev18007676m.g, Xelaev18010521m.g","GenBank, Xenbase_9.1","cltc.S, cltcl1.L, cltcl1.S","clathrin, heavy chain (Hc) [Xenopus laevis], NA","Q00610, P53675","CLTC, CLTCL1","CLH17 CLTCL2 KIAA0034, CLH22 CLTCL CLTD","Clathrin, heavy",heatr2
ENOG411CQ6H,ENOG411CQ6H,4,4,14,9432447.5,7362593.3515625,8397520.42578125,-1.281131124537556,-0.3574181439377721,6,8,1.12645415857226,0.17178860381200362,0.2723361068885616,"147906156, Xelaev18040861m.g, Xelaev18042961m.g","GenBank, Xenbase_9.1","ilf2.L, ilf2.S","interleukin enhancer binding factor 2, 45kDa [Xenopus laevis], NA",Q12905,ILF2,NF45,"Interleukin enhancer binding factor 2, 45kDa",heatr2
ENOG411D1N4,ENOG411D1N4,7,7,14,11051583.8671875,12439431.359375,11745507.61328125,1.1255790580667866,0.1706673919100277,6,8,1.12645415857226,0.17178860381200362,0.2723361068885616,"115292025, 122936362, 77748380",GenBank,NA,LOC733390 protein [Xenopus laevis],Q9BZE1,MRPL37,MRPL2 RPML2,mitochondrial ribosomal protein L37,heatr2
ENOG411CQC9,ENOG411CQC9,13,14,45,25125553.8359375,45683800.421875,35404677.12890625,1.8182206338684839,0.8625272754805693,20,25,1.084733634180695,0.11734081978962743,0.2665621737861506,"120538295, 147900786, 148225228, 148231047, 148233227",GenBank,NA,"LOC100036940 protein [Xenopus laevis], annexin A11 [Xenopus laevis], annexin A7 [Xenopus laevis]","P20073, P50995","ANXA7, ANXA11","ANX7 SNX, ANX11",annexin A11,heatr2
ENOG411CY4F,ENOG411CY4F,1,11,69,248335341.4375,431679496.414063,340007418.9257815,1.7382926405692694,0.7976709794815644,31,38,1.0677846711466215,0.09462074328954365,0.24653242406208195,"120538297, 148223683, Xelaev18002532m.g, Xelaev18019849m.g","GenBank, Xenbase_9.1","tuba8.L, tuba8.S","LOC100036943 protein [Xenopus laevis], tubulin, alpha 8 [Xenopus laevis], NA",Q9NY65,TUBA8,TUBAL2,"Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain",heatr2
ENOG411D281,ENOG411D281,6,6,25,34188557.785156295,37901798.535156295,36045178.160156295,1.1086106285422834,0.14875274430142518,11,14,1.0951637652785862,0.13114661931465774,0.24492396007353953,Xelaev18014822m.g,Xenbase_9.1,mkrn3.S,NA,NA,NA,NA,"Zinc finger, C3HC4 type (RING finger)",heatr2
ENOG411CVKF,ENOG411CVKF,8,8,25,26992767.96875,704983880.34375,365988324.15625,26.117509740383877,4.706945439839415,11,14,1.0951637652785862,0.13114661931465774,0.24492396007353953,"147900494, 147906588, Xelaev18030966m.g, Xelaev18047346m.g","GenBank, Xenbase_9.1","bzw2.L, bzw1.S","basic leucine zipper and W2 domains 2 [Xenopus laevis], basic leucine zipper and W2 domain-containing protein 1 [Xenopus laevis], NA","Q7L1Q6, Q9Y6E2","BZW1, BZW2","BZAP45 KIAA0005, NA",Basic leucine zipper and W2 domains,heatr2
ENOG411CQAE,ENOG411CQAE,15,15,58,120901672.0625,108913895.59375,114907783.828125,-1.1100665475548184,-0.1506461675208478,26,32,1.0708267927168398,0.09872514162228023,0.24185829749638912,"147903533, 148227748, 77748187, Xelaev18011839m.g","GenBank, Xenbase_9.1",pdha1.L,"pyruvate dehydrogenase (lipoamide) alpha 1 [Xenopus laevis], Pdha1-B-prov protein [Xenopus laevis], NA","P08559, P29803","PDHA1, PDHA2","PHE1A, PDHAL",Pyruvate dehydrogenase (Lipoamide) alpha,heatr2
ENOG411CSPS,ENOG411CSPS,12,12,36,21427099.59375,29031786.6875,25229443.140625,1.3549097749080414,0.43819678395801365,16,20,1.0822794856870734,0.11407310595571632,0.23838696900060005,"147899668, 148235471, 160420243, 50603606, Xelaev18015328m.g","GenBank, Xenbase_9.1",rbbp7.S,"histone-binding protein RBBP4-B [Xenopus laevis], histone-binding protein RBBP4-A [Xenopus laevis], histone-binding protein RBBP7 [Xenopus laevis], Rbbp4 protein [Xenopus laevis], NA","Q09028, Q16576","RBBP4, RBBP7","RBAP48, RBAP46",retinoblastoma binding protein,heatr2
ENOG411CTFH,ENOG411CTFH,13,13,36,16267475.5625,21046466.9375,18656971.25,1.2937758447301186,0.37158768247017027,16,20,1.0822794856870734,0.11407310595571632,0.23838696900060005,"147898905, 147905173, Xelaev18013438m.g, Xelaev18013439m.g, Xelaev18015931m.g","GenBank, Xenbase_9.1","mars.L, Xetrov90006328m.L, Xetrov90006328m.S","methionyl-tRNA synthetase [Xenopus laevis], methionyl-tRNA synthetase, cytoplasmic [Xenopus laevis], NA",P56192,MARS,NA,methionyl-tRNA synthetase,heatr2
ENOG411CWPP,ENOG411CWPP,5,5,16,4748533.71484375,7212455.046875,5980494.380859375,1.5188804544714758,0.6030083250551794,7,9,1.0951637652785864,0.13114661931465801,0.21674474974553007,"147906188, 148225827, 343479679, Xelaev18034304m.g, Xelaev18036680m.g","GenBank, Xenbase_9.1","prdx3.L, prdx3.S","peroxiredoxin 3 [Xenopus laevis], uncharacterized protein LOC734674 [Xenopus laevis], NA",P30048,PRDX3,AOP1,peroxiredoxin 3,heatr2
